frame,person,KP_0_x,KP_0_y,KP_1_x,KP_1_y,KP_2_x,KP_2_y,KP_3_x,KP_3_y,KP_4_x,KP_4_y,KP_5_x,KP_5_y,KP_6_x,KP_6_y,KP_16_x,KP_16_y
183,1,433.057,146.906,326.521,189.056,260.058,202.417,353.219,350.965,455.249,255.687,397.574,175.738,415.312,277.765,422.053,131.272
184,1,433.021,149.031,326.599,189.076,260.063,202.327,353.226,351.007,455.29,255.679,399.759,180.171,413.104,275.541,421.98,133.521
185,1,433.009,149.027,326.595,189.075,260.064,202.353,355.406,350.999,455.285,255.674,399.775,180.15,413.108,275.533,421.97,133.503
186,1,433.06,149.202,326.59,189.099,260.058,202.431,353.25,353.217,455.337,255.69,399.76,177.957,415.287,275.601,422.016,133.645
187,1,433.061,151.396,326.612,191.309,260.031,202.416,353.261,353.248,457.473,257.814,399.839,184.535,415.324,277.832,426.411,133.702
188,1,433.076,153.625,326.574,195.701,257.858,202.423,353.235,355.42,457.532,257.919,399.858,186.834,415.245,286.67,426.391,140.239
189,1,433.151,155.818,326.642,197.906,257.863,204.574,355.436,355.411,459.693,260.084,402.001,184.685,413.151,288.909,428.599,138.054
190,1,433.165,160.199,328.758,197.953,260.017,204.638,357.631,353.254,459.705,260.021,402.028,186.829,413.152,288.894,430.765,140.294
191,1,433.053,164.64,328.776,200.082,257.898,204.599,357.63,353.245,461.875,257.923,402.069,186.914,413.12,293.338,428.612,149.042
192,1,433.036,164.618,328.852,200.158,260.078,204.553,357.674,353.262,461.895,260.012,404.245,189.123,413.1,295.537,428.627,149.083
193,1,433.045,164.576,328.83,200.091,260.077,204.623,357.663,353.248,459.728,260.06,404.26,189.042,410.913,293.351,424.259,146.939
194,1,433.093,164.634,328.867,200.092,262.277,206.791,357.648,353.264,455.328,264.447,404.205,186.886,413.101,291.088,428.642,146.958
195,1,433.024,164.684,328.823,197.941,262.256,206.778,357.664,353.262,457.449,260.094,402.013,186.841,415.375,282.215,424.251,149.033
